gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,curcd,csho,costat,prcc_c
020421,20060630,2006,INDL,C,D,STD,FBRWY,USD,2018.8000,I,5.4544
020779,20060731,2006,INDL,C,D,STD,CSCO,USD,6059.0000,A,27.3300
021487,20061231,2006,INDL,C,D,STD,BEAV,USD,79.5000,I,25.6800
021496,20061231,2006,INDL,C,D,STD,ORB,USD,58.9150,I,18.4400
022325,20070331,2006,INDL,C,D,STD,XLNX,USD,295.9020,I,23.8100
022839,20061231,2006,INDL,C,D,STD,3525B,USD,0.0010,I,
023084,20061231,2006,INDL,C,D,STD,BHE,USD,64.7510,A,24.3600
023671,20061231,2006,INDL,C,D,STD,NOK,USD,3965.7300,A,20.3200
023945,20061231,2006,INDL,C,D,STD,CEPH,USD,65.5960,I,70.4100
023978,20061231,2006,INDL,C,D,STD,X,USD,118.5450,A,73.1400
024008,20061231,2006,INDL,C,D,STD,MEDI,USD,238.6000,I,32.3700
024032,20061231,2006,INDL,C,D,STD,JNY,USD,107.9000,I,33.4300
024363,20061231,2006,INDL,C,D,STD,BUCY,USD,31.5770,I,51.7600
024468,20061231,2006,INDL,C,D,STD,BIIB,USD,338.1740,A,49.1900
024925,20061231,2006,INDL,C,D,STD,ROP,USD,87.7790,A,50.2400
025119,20061231,2006,INDL,C,D,STD,MHK,USD,67.7650,A,74.8600
025279,20061231,2006,INDL,C,D,STD,BSX,USD,1474.6740,A,17.1800
025405,20061231,2006,INDL,C,D,STD,BGC,USD,52.0020,I,43.7100
027845,20061231,2006,INDL,C,D,STD,AGN,USD,102.4670,I,26.0300
027980,20061231,2006,INDL,C,D,STD,JAH,USD,71.6000,I,34.7900
028004,20061231,2006,INDL,C,D,STD,8135A,USD,0.0050,A,
028139,20060930,2006,INDL,C,D,STD,SANM,USD,532.9050,A,3.4500
028169,20061231,2006,INDL,C,D,STD,AGU,USD,133.0000,A,31.4900
028195,20060831,2006,INDL,C,D,STD,JBL,USD,202.9320,A,24.5500
028272,20061231,2006,INDL,C,D,STD,AZN,USD,1532.2460,A,53.5500
028295,20061231,2006,INDL,C,D,STD,TWI,USD,19.8990,A,20.1500
028303,20070131,2006,INDL,C,D,STD,PERY,USD,14.6410,I,41.0000
028380,20061231,2006,INDL,C,D,STD,OFIX,USD,16.4460,A,50.0000
028742,20061231,2006,INDL,C,D,STD,BWA,USD,57.6930,A,59.0200
028844,20061231,2006,INDL,C,D,STD,KOF,USD,184.6530,A,38.0000
028940,20061231,2006,INDL,C,D,STD,BDC,USD,44.1510,A,39.0900
029001,20061231,2006,INDL,C,D,STD,OMG,USD,29.7390,I,45.2800
029131,20061231,2006,INDL,C,D,STD,ROCK,USD,29.8840,A,23.5100
029133,20061231,2006,INDL,C,D,STD,ITRI,USD,25.6750,A,51.8400
029392,20061231,2006,INDL,C,D,STD,EMN,USD,83.5310,A,59.3100
029751,20061231,2006,INDL,C,D,STD,ALB,USD,47.4300,A,71.8000
029968,20061231,2006,INDL,C,D,STD,AKS,USD,110.3250,I,16.9000
030098,20061231,2006,INDL,C,D,STD,IR,USD,52.6260,A,37.3100
030170,20070331,2006,INDL,C,D,STD,FLEX,USD,607.5450,A,11.4800
030219,20070131,2006,INDL,C,D,STD,BTH,USD,39.3010,I,20.7500
030923,20061231,2006,INDL,C,D,STD,FTI,USD,104.7810,A,68.6100
031142,20061231,2006,INDL,C,D,STD,STM,USD,897.3950,A,18.4000
060894,20061231,2006,INDL,C,D,STD,CAM,USD,112.2900,I,53.0500
060979,20061231,2006,INDL,C,D,STD,WAB,USD,48.2510,A,30.3800
061513,20061231,2006,INDL,C,D,STD,SNDK,USD,226.5180,I,43.0300
061552,20061231,2006,INDL,C,D,STD,LXK,USD,97.0000,I,73.2000
061567,20060630,2006,INDL,C,D,STD,EL,USD,211.7610,A,40.8200
061572,20060831,2006,INDL,C,D,STD,SMOD,USD,58.4310,I,13.4600
061576,20060930,2006,INDL,C,D,STD,HW,USD,42.0520,I,23.9600
061763,20060630,2006,INDL,C,D,STD,RDEN,USD,28.5310,I,19.0500
062516,20061231,2006,INDL,C,D,STD,CENX,USD,32.4580,A,44.6500
062836,20061231,2006,INDL,C,D,STD,3POLGA,USD,19.2940,I,25.5500
062865,20061231,2006,INDL,C,D,STD,GETI,USD,10.3480,I,34.5900
062897,20061231,2006,INDL,C,D,STD,TUP,USD,60.5610,A,22.6100
063424,20061231,2006,INDL,C,D,STD,LVB,USD,8.3760,I,31.0500
063447,20061231,2006,INDL,C,D,STD,GES,USD,46.0440,A,63.4300
063637,20061231,2006,INDL,C,D,STD,LYO1,USD,0.0010,I,
063769,20061231,2006,INDL,C,D,STD,SPSX,USD,20.3890,I,33.2500
063892,20061231,2006,INDL,C,D,STD,NOV,USD,175.5720,A,61.1800
063914,20061231,2006,INDL,C,D,STD,CNH,USD,236.1650,I,27.3000
064030,20061231,2006,INDL,C,D,STD,STLD,USD,96.9830,A,32.4500
064356,20061031,2006,INDL,C,D,STD,CIEN,USD,84.8920,A,27.7100
064389,20061231,2006,INDL,C,D,STD,SLGN,USD,37.5880,A,43.9200
